# Spectrum Analyzer Measurement Data
# Device: Keysight E4440A
# Date: 2024-07-17
# Standard: CISPR 22 Class A
# Freq(Hz)	Amplitude(dBμV)
150000	-48.5
155000	-47.2
160000	-49.1
165000	-46.8
170000	-48.9
175000	-47.5
180000	-45.3
185000	-46.7
190000	-48.2
195000	-47.9
200000	-44.1
250000	-42.8
300000	-45.2
350000	-43.7
400000	-46.1
450000	-44.9
500000	-42.3
600000	-41.8
700000	-43.5
800000	-42.1
900000	-44.7
1000000	-40.2
1200000	-38.9
1400000	-35.7
1500000	-33.2
1600000	-36.4
1800000	-39.1
2000000	-37.8
2500000	-35.4
3000000	-38.2
3500000	-36.7
4000000	-39.5
4500000	-37.1
5000000	-34.8
6000000	-36.2
7000000	-38.9
8000000	-35.6
9000000	-37.4
10000000	-33.1
12000000	-31.8
15000000	-28.5
18000000	-32.1
20000000	-29.7
25000000	-27.3
30000000	-35.2
35000000	-38.6
40000000	-36.9
45000000	-39.1
50000000	-37.4
60000000	-35.8
70000000	-38.2
80000000	-36.5
90000000	-39.7
100000000	-41.2
120000000	-38.9
150000000	-42.1
180000000	-44.3
200000000	-41.8
250000000	-43.5
300000000	-45.2
400000000	-42.7
500000000	-44.9
600000000	-46.1
700000000	-43.8
800000000	-45.5
900000000	-47.2
1000000000	-44.6
